Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
gripper,0.00247230395830418,-0.00248613621177451,-0.00798567233676782,0,0,0,0.0160520771058304,7.2667657692015E-06,4.04889074274502E-07,-1.78763750504504E-06,9.01487283401242E-06,1.3412495361454E-06,3.29865806642553E-06,0,0,0,0,0,0,package://new_gripper_assembly/meshes/gripper.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://new_gripper_assembly/meshes/gripper.STL,,gripper_base_new-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_link,0,1.73472347597681E-18,0.002,0,0,0,0.000819182765433025,3.68685214029103E-09,7.75481824268463E-24,-1.37972046594972E-24,1.07882092082122E-07,5.7495779054872E-25,1.09384456847925E-07,0,0,0,0,0,0,package://new_gripper_assembly/meshes/right_link.STL,0,0.501960784313725,1,1,0,0,0,0,0,0,package://new_gripper_assembly/meshes/right_link.STL,,connecting_link-2,Origin_right_link_joint,,right_link_joint,revolute,0.017496,-0.036736,-0.014046,0,0,-0.85279,gripper,0,0,0,0,0,-1.57,1.57,,,,,,,,
left_link,0,0,0.002,0,0,0,0.000819182765433024,3.68685214029104E-09,-1.9335346818427E-23,1.00402964259699E-25,1.07882092082122E-07,1.79286414958361E-25,1.09384456847925E-07,0,0,0,0,0,0,package://new_gripper_assembly/meshes/left_link.STL,0,0.501960784313725,1,1,0,0,0,0,0,0,package://new_gripper_assembly/meshes/left_link.STL,,connecting_link-1,Origin_left_link_joint,,left_link_joint,revolute,-0.013034,-0.036616,-0.010046,-3.1416,0,-2.3005,gripper,0,0,0,0,0,-1.57,1.57,,,,,,,,
right_gear,0.00555032867268365,0.000582459708095199,0.00499999999999998,0,0,0,0.00645515105378562,2.70280135954047E-07,2.08684887266981E-08,1.10072006539858E-21,9.67011982791078E-07,-2.62092872613955E-22,1.1297062678487E-06,0,0,0,0,0,0,package://new_gripper_assembly/meshes/right_gear.STL,1,0.937254901960784,0.137254901960784,1,0,0,0,0,0,0,package://new_gripper_assembly/meshes/right_gear.STL,,gear_link1-1,Origin_right_gear_joint,Axis_right_gear_joint,right_gear_joint,revolute,0.016196,-0.0050578,-0.010046,3.1416,0,-0.85282,gripper,0,0,1,0,0,-1.57,1.57,,,,,,,,
right_finger,0.0332544525627715,0.00990186713364257,0.00225000811833941,0,0,0,0.00531392196719298,5.35709045890399E-07,-1.23304111671055E-06,-8.10212655967829E-13,3.61247019034449E-06,9.83693136764357E-13,4.1302446962185E-06,0,0,0,0,0,0,package://new_gripper_assembly/meshes/right_finger.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://new_gripper_assembly/meshes/right_finger.STL,,updated_gripper_link-3,Origin_right_finger_joint,,right_finger_joint,revolute,0.035482,0.0099303,0,-3.1416,0,1.1261,right_gear,0,0,0,0,0,-1.57,1.57,,,,,,,,
left_gear,0.00555032867268362,0.000582459708094994,0.005,0,0,0,0.00645515105378562,2.70280135954047E-07,2.08684887266979E-08,1.1266265566698E-22,9.67011982791078E-07,-1.32649266438123E-23,1.1297062678487E-06,0,0,0,0,0,0,package://new_gripper_assembly/meshes/left_gear.STL,1,0.937254901960784,0.137254901960784,1,0,0,0,0,0,0,package://new_gripper_assembly/meshes/left_gear.STL,,gear_link1-2,Origin_left_gear_joint,,left_gear_joint,revolute,-0.010703,-0.0050578,-0.020046,0,0,-2.3129,gripper,0,0,0,0,0,-1.57,1.57,,,,,,,,
left_finger,0.0332544531718166,0.00990186656694004,0.00225000811833937,0,0,0,0.00531392201150648,5.35709194537405E-07,-1.23304110552929E-06,-8.12576129511237E-13,3.61247040368807E-06,9.89621217064405E-13,4.13024505811935E-06,0,0,0,0,0,0,package://new_gripper_assembly/meshes/left_finger.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://new_gripper_assembly/meshes/left_finger.STL,,updated_gripper_link-4,Origin_left_finger_joint,,left_finger_joint,revolute,0.035542,0.0099013,0.0145,-3.1416,0,1.12,left_gear,0,0,0,0,0,-1.57,1.57,,,,,,,,
